,label,outlier_scores
0,7,0.020000562496155255
1,7,0.04031339183962324
2,0,0.14487397214259204
3,0,0.39336348209364963
4,4,0.11892764132654157
5,4,0.08175113873901053
6,7,0.03604699623352654
7,1,0.08590356639247294
8,5,0.0
9,6,0.04273115773906227
10,4,0.6204884457922658
11,4,0.011283652256687255
12,7,0.03398759692109485
13,0,0.008000306758769263
14,5,0.03415664392353653
15,4,0.01087686572164159
16,1,0.11662867337133453
17,7,0.004723062315531423
18,0,0.3786976908147392
19,2,0.4490530966102315
20,4,0.060777745213047116
21,0,0.5773511841475282
22,4,0.04838788842073104
23,2,0.08298292619433706
24,0,0.3549393889936979
25,7,0.028360501844168228
26,7,0.013215986025830078
27,4,0.006597088474429044
28,7,0.15618242090661955
29,4,0.0036683486566442577
30,7,0.33971941311484083
31,1,0.39759963510203333
32,4,0.006447292440469626
33,3,0.3369210818033167
34,7,0.11916248929485698
35,6,0.016388494546588608
36,0,0.07781829740305986
37,4,0.014721322800893591
38,4,0.01903302386827662
39,6,0.2630258425337133
40,2,0.18062520269003068
41,4,0.013530095065012198
42,1,0.7053118285154576
43,0,0.14859709918920405
44,4,0.0
45,1,0.009986561491964235
46,4,0.033149894501686934
47,4,0.0401516501799106
48,4,0.005277194979909809
49,1,0.6187806386066483
50,7,0.04233415326643463
51,4,0.0011898299286538887
52,1,0.5501956036930006
53,4,0.026378315112930012
54,7,0.004491040751793105
55,4,0.032490493867292414
56,5,0.4626979152133068
57,0,0.4899759028921883
58,7,0.04967418521856049
59,3,0.23731149961578707
60,4,0.02675988126235435
61,7,0.04863175274143897
62,3,0.030228210585011673
63,0,0.5419463708512173
64,4,0.014513183841473695
65,6,0.10407244187660956
66,0,0.070974206840002
67,4,0.059104006496640375
68,4,0.024626829490723198
69,2,0.5847791227841895
70,4,0.18120760397054209
71,6,0.020216800202144673
72,5,0.30476401158210265
73,4,0.01682199639025388
74,7,0.012384378725909162
75,4,2.8986251255380204e-14
76,6,0.3789633994332183
77,3,0.15493145270815553
78,0,0.323372975279165
79,6,0.11286430354550156
80,4,0.06125745738076601
81,0,0.08185902017587272
82,7,0.0
83,7,0.3856302643834525
84,0,0.26804920761037804
85,0,0.2881131058063748
86,4,0.020252055629838076
87,4,0.013935817769193204
88,4,0.0
89,4,0.0027204829089140818
90,4,0.01859883126273673
91,1,0.04022229256438843
92,5,0.6162572109552179
93,7,0.05258516802223158
94,2,0.06127645984034265
95,4,0.0035607878740286226
96,7,0.03809641791663565
97,3,0.04598243219730906
98,4,0.0042535607787314135
99,2,0.026224804139096346
100,1,1.0336066108075391e-05
101,6,0.013739733802005133
102,7,0.009357807963742073
103,3,0.06963489253517724
104,6,0.0
105,2,0.0
106,4,0.09331346458297382
107,7,0.0
108,7,0.00610014542244871
109,7,0.03627638568650532
110,3,0.28522379275197257
111,1,0.3718177355221407
112,4,0.0870543002304404
113,2,0.006479568940879177
114,1,0.4685637191203794
115,7,0.014619520725684162
116,1,0.0023982162398396025
117,0,0.2997398537019296
118,6,0.02973427437056654
119,4,0.028060297773590103
120,1,0.008943289948787783
121,1,0.1046468431756397
122,6,0.0
123,4,0.0031323550271530306
124,4,0.02877147555103665
125,4,0.05448048230378353
126,1,0.028725111892109245
127,1,0.024197093046701458
128,4,0.0019440121234883358
129,7,0.042968108387220864
130,0,0.23886948651711115
131,7,0.07571997896289612
132,4,0.032004158201502285
133,4,0.10501420799900711
134,4,0.0915013984639706
135,0,0.4336627122820957
136,3,0.49329432182013644
137,1,0.025674104656539253
138,4,0.05269816328761369
139,4,0.006418351127762479
140,4,0.002022060375265809
141,4,0.004478763323058774
142,0,0.7794425398441448
143,4,0.05559581556266427
144,4,0.011434589959882916
145,4,0.02264487265541192
146,4,0.0659438453750986
147,3,0.2768583825400267
148,5,2.2203039407029165e-13
149,4,0.09929749042010802
150,7,0.01909556117508763
151,1,0.09926717732407483
152,5,0.005385473924890424
153,1,0.1559421787869542
154,7,0.025710850759808633
155,0,0.21062972127860008
156,4,0.0
157,4,0.004768701755740177
